debug/a1_2_std,debug/q2,idle_time,debug/backup,debug/log_pi,debug/log_pi_std,episode_length_test,debug/a2_1_std,return_train,debug/a1_2,debug/a2_0_std,training_step_duration,debug/a_2,debug/q_a1,debug/a2_2_std,debug/demo_sampling_weight,_timestamp,debug/demo_fraction_in_batch,debug/a1_0,debug/a_1,episode_length_train,_runtime,debug/logp_a2,debug/a1_1,losses/loss_actor,_step,debug/d,debug/a_2_std,round_time,debug/q_a1_std,debug/a2_0,debug/q_a1_targ,debug/q1,debug/q_a1_targ_std,debug/backup_std,debug/logp_a2_std,debug/d_std,debug/a2_1,sampling_duration,debug/a_0_std,debug/actor_grad_norm,losses/loss_critic,debug/r,debug/a2_2,debug/a1_1_std,debug/critic_grad_norm,debug/a_1_std,memory_len,debug/a_0,lrs/actor_lr,lrs/critic_lr,debug/a1_0_std,debug/q2_std,return_test,debug/r_std,debug/q1_std
0.5918283874,19.4882643688,0.0,19.4311716135,-1.9385348264,0.4820152295,0,0.5870486991,18.7678909302,-0.0515700127,0.5888314857,0.0546631368,0.0752422708,19.4697863348,0.5909507269,1.0,1772102827.3432288,0.7033333333,0.0805340652,0.0519064577,735.6666666667,12564.6928011,-1.9440474021,0.081953322,-19.4892030456,472,0.0002604167,0.734427675,27.4397408962,21.4822300307,0.0782761536,19.234655623,19.4581905913,21.9481687117,21.7322423593,0.4799079739,0.0053735658,0.082317519,0.0358723879,0.4461768052,0.019219382,0.4147063589,0.3850082202,-0.0537019864,0.5878388669,13.8809057984,0.3366285487,214525,0.5730613442,1e-05,5e-05,0.588798067,21.676555831,0,0.1431253682,21.6979123839
0.5913857983,14.0874172992,0.0,14.0362098819,-1.9687013249,0.4148228444,0,0.5886985429,21.6833229065,-0.017185328,0.5909917128,0.0524208323,0.0713595607,14.0594304182,0.5904583931,1.0,1772102827.3432288,0.5666666667,0.0258350418,0.0460035809,1711.0,12564.6943012,-1.9686859258,0.0706290464,-14.0790947213,473,0.0002929688,0.706062637,26.9771389961,18.0281472854,0.0275902537,13.8597015766,14.0431849708,18.4058211521,18.2324718853,0.4149946109,0.0061966338,0.0679419375,0.0365288631,0.4761433541,0.0179740196,0.3645198642,0.311074262,-0.0172961865,0.5877685265,11.9778699394,0.3811608151,214525,0.4602703269,1e-05,5e-05,0.5910869328,18.2306253374,0,0.1329855559,18.1994174818
0.5932733937,11.1600686063,0.0,11.050601568,-1.9709426137,0.4149068043,0,0.5917676806,21.6833229065,-0.0265688782,0.5901420734,0.0541939251,0.0744869612,11.1174401991,0.5921775665,1.0,1772102827.3447313,0.5433333333,0.0377228955,0.0633709168,1711.0,12564.6948017,-1.9704410116,0.0375974995,-11.1371452991,474,0.0002408854,0.6956844485,27.6894986629,18.6257882452,0.0375880197,10.863079621,11.1237449251,19.0830108802,18.8994609569,0.4130555177,0.0052776178,0.03610532,0.0372139406,0.4798458071,0.0186488592,0.4195178354,0.2897396539,-0.029419929,0.5909979389,14.7370112925,0.3911921229,214525,0.4465490483,1e-05,5e-05,0.5903714397,18.8228179465,0,0.1359667494,18.8183508186
0.5921206812,20.1301939273,0.0,20.0299474939,-1.957051721,0.4509279455,0,0.5910391621,21.6833229065,-0.0049513844,0.5907673997,0.0556632312,0.0860532436,20.0697995073,0.5921882002,1.0,1772102827.345229,0.74,0.0225533867,0.053019549,1711.0,12564.6948017,-1.9610424344,0.0385560958,-20.0893798906,475,0.0001953125,0.7454483122,28.2657673359,22.7145144502,0.0229899451,19.8227078084,20.0551628488,23.1914614979,22.9590992196,0.4498180137,0.004159922,0.0393104569,0.0374449873,0.4422628845,0.0199829724,0.4439624176,0.3994693184,-0.0026544233,0.5928652022,14.0133607903,0.3222754586,214525,0.5980228531,1e-05,5e-05,0.5917230942,22.8888165963,0,0.1485344849,22.9445363716
0.5924618123,17.5035078607,0.0,17.4912416669,-1.9508048868,0.4593730814,0,0.5899968801,21.6833229065,-0.0183649504,0.5920008047,0.0529641358,0.079780054,17.5002278966,0.591569884,1.0,1772102827.3457294,0.72,-0.0122941681,0.0453835878,1711.0,12564.6953012,-1.9568070281,0.0662738642,-17.519781418,476,0.000234375,0.7337413718,27.1437604427,23.0121954481,-0.0076252608,17.276216681,17.5249074866,23.5225501788,23.2841895723,0.4549206919,0.0051303039,0.0659748548,0.0366415787,0.4453926891,0.0194682407,0.4677079045,0.3804267804,-0.0233394378,0.5911231548,14.7202383577,0.3235347895,214525,0.5787565365,1e-05,5e-05,0.5926489538,23.2062324782,0,0.1479580695,23.2458750383
0.5917502103,14.7603308493,0.0,14.692094597,-1.9568783363,0.4516407632,0,0.5903648293,-2.1570439339,-0.0404378613,0.5923982288,0.0528925149,0.0803447107,14.7415382232,0.5911449869,1.0,1772102827.346229,0.7133333333,-0.0096104013,0.0487724264,2128.3333333333,12564.6958011,-1.9559889142,0.0485816273,-14.7610707698,477,0.0002213542,0.7281040353,27.1366147995,23.829688497,-0.013556585,14.4660312666,14.7429301665,24.3407381658,24.093729039,0.4503988089,0.0047491776,0.0480960742,0.0367199008,0.4470561123,0.0197227053,0.467105718,0.3584150709,-0.0433663758,0.5907142532,15.32526871,0.3278393315,216863,0.5756812799,1e-05,5e-05,0.5918787408,24.0533537086,0,0.1533838789,24.055325824
0.5886782338,15.1177035513,0.0,15.1330442186,-1.9787441945,0.4044409014,0,0.5906700846,15.2429265976,-0.0552637766,0.5906344573,0.053659881,0.0762280561,15.1747727813,0.5899295306,1.0,1772102827.346229,0.6133333333,0.0209720183,0.0511987172,296.0,12564.696301,-1.979662166,0.0163108831,-15.1945673992,478,0.0002018229,0.7149709175,27.4102101326,19.9233281243,0.0224497491,14.9406027402,15.2457565383,20.3450152731,20.1444123924,0.4045196187,0.0043937343,0.01814022,0.0367789491,0.4661395237,0.0182411162,0.3889534826,0.3375050282,-0.0569116882,0.5916222239,13.8560464806,0.3639102887,217160,0.4969942991,1e-05,5e-05,0.5908935696,20.1718758082,0,0.1347155375,20.059571288
0.5877799165,17.9381155755,0.0,17.8748227966,-1.9706851566,0.4303673322,0,0.5877738357,15.2429265976,-0.0702333092,0.5916893891,0.0531435307,0.0799014605,17.8797337164,0.5876327244,1.0,1772102827.346729,0.69,0.0112987867,0.0469817487,296.0,12851.5726197,-1.9729444321,0.0722309705,-17.8994538224,479,0.0002473958,0.7354029771,27.1978230476,22.5659097942,0.0121620545,17.6617041053,17.8500592903,22.9675001375,22.7387833206,0.4261366384,0.0053384333,0.0693428789,0.0366223462,0.4524323415,0.0183033877,0.3944754242,0.3837874127,-0.0698567867,0.5900340762,12.5566138716,0.3329538095,217160,0.5587703095,1e-05,5e-05,0.5919070792,22.7219126403,0,0.1400758828,22.7797785298
0.5919536904,17.8508866803,0.0,17.8141306245,-1.9838375501,0.3961344765,0,0.5890554603,14.1887340546,-0.0109740681,0.5909236487,0.0526761468,0.080897408,17.8242935272,0.5906874041,1.0,1772103114.230117,0.6533333333,-0.0174923378,0.0609904787,302.0,12851.5736219,-1.9843383654,0.0393817748,-17.8441445724,480,0.000234375,0.7276296324,26.9006893635,20.2354644706,-0.0187206312,17.6234079627,17.8157410945,20.6358079056,20.4373506284,0.3928066684,0.0048708086,0.0384649851,0.0360768414,0.459326694,0.0183183847,0.354318448,0.3633625452,-0.0117804824,0.5897225559,13.4377301749,0.3472455081,219046,0.5355451711,1e-05,5e-05,0.591540371,20.4067789968,0,0.1372727984,20.3767846092
0.5918897631,11.8101934306,0.0,11.7544650151,-1.9796526992,0.4019002206,0,0.591248135,12.6209516525,0.0272234674,0.5891720327,0.0528365715,0.067499061,11.792474644,0.5928295437,1.0,1772103114.230117,0.55,-0.0534756119,0.0447467409,290.6666666667,12851.5741247,-1.9799106101,0.0215206652,-11.8122559285,481,0.0002734375,0.7020352791,27.0561175346,19.0735664099,-0.0542186151,11.5624935774,11.7910441558,19.465608024,19.2810923658,0.4027683172,0.0058411905,0.0249716303,0.036392808,0.4780335287,0.0193027122,0.3771479781,0.3023301237,0.023512797,0.5922918997,15.654093149,0.3865087921,219326,0.4453890323,1e-05,5e-05,0.589811004,19.2683846509,0,0.1331448203,19.2096908198
0.5930905475,14.7228827663,0.0,14.6528872196,-1.9686009729,0.4243735313,0,0.5922459461,13.3808012009,0.0085263386,0.589807785,0.0539753469,0.0782436616,14.7293751633,0.5926677394,1.0,1772103114.2311194,0.6266666667,-0.0679200322,0.0455944202,278.0,12851.5746253,-1.9680205615,0.0287093915,-14.7490655492,482,0.0002539062,0.7181246406,27.4693052769,20.6863859717,-0.0627799475,14.4514407424,14.75153184,21.1551407413,20.9513103767,0.4257292394,0.0053127503,0.028281335,0.0366863632,0.4617899362,0.019821419,0.4092879865,0.3421113312,0.0094819008,0.5923371238,17.97780347,0.3609993694,219605,0.5064139004,1e-05,5e-05,0.5897603158,20.8400348437,0,0.1382496447,20.908609732
0.5926980146,11.4077025612,0.0,11.3449678713,-1.958079443,0.4381286528,0,0.5904373113,8.6466531754,0.0092730878,0.5872737586,0.0534941157,0.0693092972,11.3770426718,0.5930252049,1.0,1772103114.2316222,0.5666666667,-0.092159407,0.0420993245,385.3333333333,12851.5751255,-1.9566744419,0.0397759578,-11.3966104708,483,0.0002473958,0.7049341249,27.0818338394,19.546937091,-0.0898349319,11.1502699451,11.3787045825,19.9782973448,19.7924712646,0.4364344124,0.0053384333,0.03561619,0.0358785478,0.4771079364,0.0191108308,0.3942993053,0.3028455385,0.0081429487,0.5901155543,17.6197237639,0.3806496554,220045,0.4562760141,1e-05,5e-05,0.5871979988,19.7282573422,0,0.1382372061,19.723886867
0.5934255793,14.6449106097,0.0,14.4685040897,-1.9475018259,0.4601277568,0,0.5904195845,6.4530491829,0.0064074354,0.5900303491,0.0572080549,0.0709037176,14.5937886935,0.5937028702,1.0,1772103114.2321227,0.6133333333,-0.0704081131,0.0478854649,598.3333333333,12851.5756244,-1.9477017633,0.0037805021,-14.6132653491,484,0.0002473958,0.7169790032,28.5318214893,19.7539645974,-0.0694362629,14.2756719506,14.6001246052,20.2113467606,20.0211730448,0.4624125977,0.0052519349,0.0038894369,0.0368198609,0.4691638417,0.0199714954,0.386547361,0.3333151889,0.0074264703,0.5913767387,17.814511873,0.3620769854,220963,0.4999229495,1e-05,5e-05,0.5902353126,19.8860133,0,0.1354449711,19.9410451138
0.5932242507,15.4485520089,0.0,15.4248306926,-1.9595577768,0.4424664511,0,0.5928477182,13.1561450958,0.0159506589,0.5907216509,0.0559912928,0.0676421725,15.4438617686,0.595644087,1.0,1772103114.2326229,0.6033333333,-0.0544822863,0.0572158372,471.6666666667,12851.5761244,-1.9577150794,0.0145726522,-15.4634393597,485,0.0003059896,0.7155781472,28.5254714489,19.0901106197,-0.0558260592,15.2373499477,15.4590129761,19.4442087066,19.2621721888,0.4432970589,0.00657776,0.0153273843,0.0382290395,0.4696064905,0.0199586334,0.322878343,0.3364807679,0.0161094247,0.5901456942,13.2359572131,0.3663528237,221213,0.4883513052,1e-05,5e-05,0.5899333781,19.2232530087,0,0.1338831971,19.2372038809
0.593924829,13.4529083442,0.0,13.3905970915,-1.9635143912,0.4322117794,0,0.5908016455,13.7142477036,0.0032565483,0.5930320257,0.0530227725,0.0712872861,13.4500080689,0.5938858211,1.0,1772103114.2331219,0.5933333333,-0.0499333015,0.0449868134,377.0,12851.5761244,-1.9625395095,0.0070299196,-13.4696244419,486,0.0002929688,0.7115149083,27.1133041382,19.85831773,-0.0446439378,13.1939319233,13.4593329553,20.2754821452,20.0827417767,0.4318431523,0.0062831322,0.0086330022,0.0364686577,0.4709104041,0.019217188,0.3701262622,0.3243871448,0.0054543194,0.5907624571,16.9505322428,0.3717383421,222057,0.4811519081,1e-05,5e-05,0.5928634946,20.0204815348,0,0.1351276144,20.0262492128
